,id,size,sku,sku_type,units,woy,week,main_promo,small_promo,weeks_since_last_event,weeks_to_next_event,average_train_demand,cluster
36,4,2.0,82332208,1,0,18,18,1.0,0.0,0,0,-9999.0,1
37,4,2.0,82332208,1,0,19,19,0.0,0.0,1,5,-9999.0,1
38,4,2.0,82332208,1,0,20,20,0.0,0.0,2,4,-9999.0,1
39,4,2.0,82332208,1,0,21,21,0.0,0.0,3,3,-9999.0,1
40,4,2.0,82332208,1,0,22,22,0.0,0.0,4,2,-9999.0,1
41,7,2.0,82332932,1,0,34,34,0.0,0.0,10,2,-9999.0,1
42,7,2.0,82332932,1,0,35,35,0.0,0.0,11,1,-9999.0,1
43,7,2.0,82332932,1,0,36,36,0.0,1.0,0,0,-9999.0,1
44,7,2.0,82332932,1,0,37,37,0.0,0.0,1,8,-9999.0,1
45,7,2.0,82332932,1,0,38,38,0.0,0.0,2,7,-9999.0,1
46,7,2.0,82332932,1,0,39,39,0.0,0.0,3,6,-9999.0,1
47,7,2.0,82332932,1,0,40,40,0.0,0.0,4,5,-9999.0,1
48,7,2.0,82332932,1,0,41,41,0.0,0.0,5,4,-9999.0,1
49,7,2.0,82332932,1,0,42,42,0.0,0.0,6,3,-9999.0,1
50,7,2.0,82332932,1,0,43,43,0.0,0.0,7,2,-9999.0,1
51,7,2.0,82332932,1,0,44,44,0.0,0.0,8,1,-9999.0,1
52,7,2.0,82332932,1,0,45,45,1.0,0.0,0,0,-9999.0,1
53,7,2.0,82332932,1,0,46,46,0.0,0.0,1,3,-9999.0,1
54,7,2.0,82332932,1,0,47,47,0.0,0.0,2,2,-9999.0,1
55,7,2.0,82332932,1,0,48,48,0.0,0.0,3,1,-9999.0,1
56,7,2.0,82332932,1,0,49,49,0.0,1.0,0,0,-9999.0,1
57,7,2.0,82332932,1,0,50,50,0.0,0.0,1,1,-9999.0,1
58,7,2.0,82332932,1,0,51,51,0.0,1.0,0,0,-9999.0,1
59,7,2.0,82332932,1,0,52,52,0.0,0.0,1,5,-9999.0,1
60,7,2.0,82332932,1,0,1,1,0.0,0.0,2,4,-9999.0,1
61,7,2.0,82332932,1,0,2,2,0.0,0.0,3,3,-9999.0,1
62,7,2.0,82332932,1,0,3,3,0.0,0.0,4,2,-9999.0,1
63,7,2.0,82332932,1,0,4,4,0.0,0.0,5,1,-9999.0,1
64,7,2.0,82332932,1,0,5,5,0.0,1.0,0,0,-9999.0,1
65,7,2.0,82332932,1,0,6,6,0.0,0.0,1,4,-9999.0,1
66,7,2.0,82332932,1,0,7,7,0.0,0.0,2,3,-9999.0,1
67,7,2.0,82332932,1,0,8,8,0.0,0.0,3,2,-9999.0,1
68,7,2.0,82332932,1,0,9,9,0.0,0.0,4,1,-9999.0,1
69,7,2.0,82332932,1,0,10,10,0.0,1.0,0,0,-9999.0,1
70,7,2.0,82332932,1,0,11,11,0.0,0.0,1,7,-9999.0,1
71,7,2.0,82332932,1,0,12,12,0.0,0.0,2,6,-9999.0,1
72,7,2.0,82332932,1,0,13,13,0.0,0.0,3,5,-9999.0,1
73,7,2.0,82332932,1,0,14,14,0.0,0.0,4,4,-9999.0,1
74,7,2.0,82332932,1,0,15,15,0.0,0.0,5,3,-9999.0,1
75,7,2.0,82332932,1,0,16,16,0.0,0.0,6,2,-9999.0,1
76,7,2.0,82332932,1,0,17,17,0.0,0.0,7,1,-9999.0,1
77,7,2.0,82332932,1,0,18,18,1.0,0.0,0,0,-9999.0,1
78,7,2.0,82332932,1,0,19,19,0.0,0.0,1,5,-9999.0,1
79,7,2.0,82332932,1,0,20,20,0.0,0.0,2,4,-9999.0,1
80,7,2.0,82332932,1,0,21,21,0.0,0.0,3,3,-9999.0,1
81,7,2.0,82332932,1,0,22,22,0.0,0.0,4,2,-9999.0,1
